지역,연도,발생량,재활용품,음식물,소각,매립,1인당 배출량,주민수
동대문구,2020,440.1,240.1,90.8,86.6,22.6,1.23,357014
중랑구,2020,337.6,139.9,86.7,92.5,18.5,0.84,399562
성북구,2020,361.6,158.8,87.4,101.1,14.2,0.81,447056
강북구,2020,243.1,77.2,68.7,88.8,8.4,0.78,311569
도봉구,2020,300.9,126.5,72.8,94.5,7.1,0.92,327361
노원구,2020,394.8,164.9,117.5,107.1,5.3,0.75,527032
은평구,2020,380.4,143.6,79.5,52.7,104.6,0.79,484043
서대문구,2020,285.3,112.4,63.4,78.6,30.9,0.88,322952
마포구,2020,366.4,133.8,84.6,114.2,33.9,0.96,381858
양천구,2020,394.4,196.8,89,90.2,18.4,0.86,457781
강서구,2020,526.8,222.9,144.1,103.6,56.2,0.9,585901
구로구,2020,329.6,90.5,82.1,109.1,47.9,0.76,432488
금천구,2020,274.5,136.1,55,15.7,67.6,1.11,247835
영등포구,2020,449.4,164.7,136.4,121.5,26.8,1.1,407367
동작구,2020,324.5,154,85.3,66.4,18.7,0.81,401572
관악구,2020,401.6,188.7,94.1,30.5,88.2,0.79,509803
서초구,2020,504.8,142.6,155.8,127.3,79.2,1.18,429025
강남구,2020,694.9,214.4,242.4,203,35,1.28,544055
송파구,2020,727.5,333.7,208.5,97,88.3,1.08,673926
강동구,2020,368,138.3,110.4,73.6,45.6,0.79,463998
계,2021,10852.8,4636.4,2457.1,2274.6,1484.7,27.86,9736027
종로구,2021,229.8,56.6,69.2,83.4,20.6,1.49,153789
중구,2021,298.1,59.4,78.5,133.9,26.3,2.26,131787
용산구,2021,293.6,125.7,62.1,80.8,25,1.24,237285
성동구,2021,271.8,110.6,76.7,56,28.5,0.93,292672
광진구,2021,250.5,89.1,82.7,50.1,28.7,0.71,352627
동대문구,2021,320.2,114,93.2,86.8,26.2,0.91,352006
중랑구,2021,288.3,91.9,84.1,91.7,20.6,0.74,391885
성북구,2021,372.6,190.7,86.7,85.3,9.9,0.85,440142
강북구,2021,258.6,117.7,64.2,69.9,6.9,0.85,302563
도봉구,2021,251.9,74.8,72.1,96.5,8.5,0.79,319373
노원구,2021,372.3,146.5,115.7,99.6,10.6,0.72,514946
은평구,2021,378.9,151.1,77.9,39.1,110.7,0.79,477173
서대문구,2021,265.1,97.6,61,83.3,23.3,0.84,315659
마포구,2021,545.2,326.4,78,113.3,27.5,1.44,378686
양천구,2021,353.1,152.7,88.4,82.3,29.6,0.78,450487
강서구,2021,2059.7,1192.9,130,106.8,630.1,3.55,579768
구로구,2021,373.2,129.6,81.8,110.7,51.2,0.89,421163
금천구,2021,270.3,116.4,55.5,32.1,66.2,1.1,244891
영등포구,2021,441.7,181.8,131.5,89.1,39.2,1.1,400908
동작구,2021,297.4,117.6,80.5,68.8,30.5,0.75,394364
관악구,2021,400.4,149,91.7,110.7,49,0.8,499449
서초구,2021,485.2,153,147.4,135.2,49.6,1.17,416167
강남구,2021,679.5,210.8,232.2,200.1,36.3,1.26,537800
송파구,2021,693.7,295.7,199.6,112.2,86.1,1.04,663965
강동구,2021,401.7,184.8,116.4,56.9,43.6,0.86,466472
